"Vin#","Year","Vehicle","Mileage","Drive Train","Engine Size","Price$","State","Buy Now Price","URL"
"1FTEW1CP8PKD69156",2023,"Ford F-150 XL",23876,"RWD","Engine Size Unspecified",31900,"Florida",,"https://smartauctionlogin.com/ui/vehicles/09d00bff-73e5-4f4e-8544-7073c66be46a"
"1C6SRFLT3KN671358",2019,"Ram Pickup 1500 Rebel",105243,"4WD","Engine Size Unspecified",26700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/5e123b25-91b2-4e36-a01a-0b0b976e15de"
"1C4GJXAN7LW282587",2020,"Jeep Wrangler Sport S",62775,"4WD","Engine Size Unspecified",18700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/d5f01088-2f34-4d8f-9f35-3f0f36f897b6"
"4T1DAACK6SU149098",2025,"Toyota Camry Hybrid LE",7988,"FWD","2.5L",26400,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/94a2b228-ec73-4ea5-952d-105900ff0e15"
"1C4RDJDG2NC135169",2022,"Dodge Durango GT Plus",59742,"AWD","3.6L",25100,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/463d656b-60fd-4815-b80d-116c1d65bf17"
"3C4NJDCN1PT519850",2023,"Jeep Compass Limited",44356,"4WD","2.0L",20600,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/2a6597a6-ed64-4dfe-b745-d9764219448c"
"3C4NJDCN8PT551890",2023,"Jeep Compass Limited",44683,"4WD","2.0L",20600,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/0a1325f6-c53c-44c4-a319-4d50589eec1e"
"1C6SRFJT2NN418507",2022,"Ram Pickup 1500 Laramie",43367,"4WD","Engine Size Unspecified",37500,"Vermont",,"https://smartauctionlogin.com/ui/vehicles/d764697a-da27-4711-8766-78c2a0d24aa6"
"1GKKNKLA0JZ218807",2018,"GMC Acadia SLE",104351,"FWD","2.5L",11600,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/4ca5f7a7-89be-47fe-a7ef-1a536b018ef6"
"1HGCY2F58RA031817",2024,"Honda Accord Hybrid Sport",46995,"FWD","2.0L",24900,"Missouri",,"https://smartauctionlogin.com/ui/vehicles/9a6dbf72-76c4-4d4b-bf82-e090a21ae2aa"
"1C4HJXEG0LW191287",2020,"Jeep Wrangler Unlimited Sahara",48889,"4WD","Engine Size Unspecified",26200,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/4a2609da-0ece-47d6-9bd5-fe7eee579191"
"3GTUUDED1RG132475",2024,"GMC Sierra 1500 SLT",48553,"4WD","Engine Size Unspecified",42700,"North Carolina",,"https://smartauctionlogin.com/ui/vehicles/4bca54aa-15dc-4c36-a29f-3e35d35e60dd"
"2C4RC1L7XPR570763",2023,"Chrysler Pacifica Hybrid Touring L",15261,"FWD","3.6L",28000,"Massachusetts",,"https://smartauctionlogin.com/ui/vehicles/6ccd8230-dddb-4f4a-91e8-73347d6980cd"
"1C4HJXEN1MW706541",2021,"Jeep Wrangler Unlimited Unlimited Sahara",47673,"4WD","Engine Size Unspecified",28300,"Massachusetts",,"https://smartauctionlogin.com/ui/vehicles/dca22ce4-0e32-4821-8cec-f0ed0f2ab27d"
"1C6RRFBG6PN563973",2023,"Ram Pickup 1500 Big Horn",7892,"4WD","Engine Size Unspecified",33400,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/b2960526-e8b7-4929-a29d-3702eb5b24b1"
"2GNAXHEV0N6117537",2022,"Chevrolet Equinox LS",91348,"FWD","1.5L",13300,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/db05e426-ba51-454d-bfc7-d7df633f0751"
"5NMS34AJ2NH447824",2022,"Hyundai Santa Fe SEL",52659,"FWD","2.5L",19800,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/421db6ea-7dc8-4c8d-8c4f-1c97dbd6b65e"
"1C6HJTAG5NL129765",2022,"Jeep Gladiator Sport S",38040,"4WD","Engine Size Unspecified",28600,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/418bf946-891b-4c8f-b75e-74773f4c3171"
"1GYS3HKJ6JR251097",2018,"Cadillac Escalade ESV Luxury",117210,"RWD","6.2L",17500,"Louisiana",,"https://smartauctionlogin.com/ui/vehicles/cc862b2d-ea4d-4910-afa9-41f0c2d28412"
"1G1FF1R77P0120458",2023,"Chevrolet Camaro LT1",17803,"RWD","6.2L",34400,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/5557db47-a32a-4dae-9d5b-d992efe029ca"
"2HGFE2F54SH565555",2025,"Honda Civic Sport",17257,"FWD","2.0L",24200,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/f30ceb8e-25b2-425c-845a-5630bd62b003"
"3GNAXHEG1TL115922",2026,"Chevrolet Equinox FWD LT",1030,"FWD","1.5L",27200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/f4eedd17-d0f9-4e81-b33d-8efade6e1103"
"1N6ED1EK6NN660240",2022,"Nissan Frontier SV",57006,"4WD","3.8L",25400,"Florida",,"https://smartauctionlogin.com/ui/vehicles/edcda912-15f9-447a-8ce4-a571783b0be1"
"1C4RJYC66N8767119",2022,"Jeep Grand Cherokee 4xe Trailhawk",23919,"4WD","2.0L",28700,"North Dakota",,"https://smartauctionlogin.com/ui/vehicles/d8efe79f-b4cf-4223-babb-7fd68b4a5d63"
"1C4JJXP69PW524887",2023,"Jeep Wrangler 4xe Sahara",24438,"4WD","2.0L",28000,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/096c65a6-e1b8-4b56-b04c-08bca0b6240a"
"1C6HJTAG8PL536563",2023,"Jeep Gladiator Sport",17018,"4WD","3.6L",30900,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/f5386cb1-2e76-4f23-a034-c1d72dbcf8ed"
"5XYK5CDF2RG196850",2024,"Kia Sportage SX-Prestige",32321,"AWD","2.5L",27700,"Illinois",,"https://smartauctionlogin.com/ui/vehicles/7ab80eee-d4e5-4c54-bb7f-7d2074234950"
"ZACNJDB12NPN98414",2022,"Jeep Renegade Latitude",48153,"4WD","1.3L",17500,"Florida",,"https://smartauctionlogin.com/ui/vehicles/23d22598-9150-40b2-9269-c3316c5e4d02"
"1C4RDHDG2RC225890",2024,"Dodge Durango GT",13622,"RWD","3.6L",29700,"North Carolina",,"https://smartauctionlogin.com/ui/vehicles/aac39774-b9a7-4c36-82b1-b6ad33f530f4"
"1V2FE2CA8SC224919",2025,"Volkswagen Atlas Cross Sport 2.0T SEL Premium R-Line",17593,"AWD","2.0L",38700,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/28bdd78a-1afd-4aee-b705-e04def3c416a"
"1C6SRFJT6NN402584",2022,"Ram Pickup 1500 Laramie",30636,"4WD","Engine Size Unspecified",40300,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/6cf035cd-c659-4a3f-8f98-7e1e41feb133"
"3GNAXHEG3SL158995",2025,"Chevrolet Equinox FWD LT",14456,"FWD","1.5L",24500,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/d6e45be0-5b79-4be8-afd2-f48e12dd0c4f"
"1C4RJKEG7P8803468",2023,"Jeep Grand Cherokee L Summit",30819,"4WD","Engine Size Unspecified",42700,"Florida",,"https://smartauctionlogin.com/ui/vehicles/0e838763-cc98-4151-bd47-9a1779ef48b3"
"1C4RJJBG3N8548314",2022,"Jeep Grand Cherokee L Limited",44732,"RWD","3.6L",26800,"Florida",,"https://smartauctionlogin.com/ui/vehicles/9eb3e924-6eb5-4783-a5b3-2984147ea84c"
"1C4PJMMX7MD176021",2021,"Jeep Cherokee Latitude Lux",34892,"4WD","Engine Size Unspecified",20700,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/fcde5d59-1a5e-46ae-8afa-f47c13fe4853"
"KNDETCA75S7739756",2025,"Kia Seltos SX",4311,"AWD","1.6L",27600,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/562deb01-0d71-4750-af45-0ee783674bce"
"1C6SRFRT0PN578084",2023,"Ram Pickup 1500 Laramie",42311,"4WD","5.7L",39900,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/78d063bc-2222-4856-b806-e645262409a1"
"1C4HJXEN9PW550947",2023,"Jeep Wrangler Unlimited Sahara",20894,"4WD","Engine Size Unspecified",33200,"Minnesota",,"https://smartauctionlogin.com/ui/vehicles/e83a5343-87ba-4229-962a-54df21034525"
"WBA7T2C07LGL17621",2020,"BMW 7 series 740i",63795,"RWD","3.0L",28900,"Florida",,"https://smartauctionlogin.com/ui/vehicles/9d00c763-d5af-4d78-b41a-d3cc150fc791"
"1FMDE7BH5SLA79404",2025,"Ford Bronco Big Bend",3356,"4WD","2.3L",37700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/7a807a64-e0f4-4bb0-bf76-c3e18acf29b6"
"1C6SRFFT0NN391509",2022,"Ram Pickup 1500 Big Horn",55501,"4WD","Engine Size Unspecified",33300,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/7e58b3b0-a51d-4b0c-927a-e71224156940"
"3GKALXEG3RL254350",2024,"GMC Terrain Denali",31165,"AWD","1.5L",28800,"Louisiana",,"https://smartauctionlogin.com/ui/vehicles/ff3c5cb8-7352-4810-adeb-3999da3a0d50"
"1C4HJXDN6NW241774",2022,"Jeep Wrangler Unlimited Unlimited Willys",34871,"4WD","Engine Size Unspecified",27600,"Florida",,"https://smartauctionlogin.com/ui/vehicles/51e0a292-bced-418e-b811-3c3420d84353"
"JHMFL5G43SX003796",2025,"Honda Civic Type R Trim Unspecified",1548,"FWD","2.0L",45200,"Florida",,"https://smartauctionlogin.com/ui/vehicles/2721974e-f5c5-45b8-ae2b-48d2f01e5773"
"1GCPYAEH4KZ385010",2019,"Chevrolet Silverado 1500 Work Truck",89202,"4WD","Engine Size Unspecified",21200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/27647ca6-1536-4c74-9eb7-b333e19fccc7"
"1C4RJKBG5P8719475",2023,"Jeep Grand Cherokee L Limited",40615,"4WD","3.6L",31100,"Pennsylvania",,"https://smartauctionlogin.com/ui/vehicles/856391ea-370c-4b2f-89e4-57e793145dc6"
"1C4RDJAG6PC598245",2023,"Dodge Durango SXT Launch Edition",44300,"AWD","3.6L",25700,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/df106a14-a75f-4292-a835-daa416fd2139"
"1C4RJJBG2N8636366",2022,"Jeep Grand Cherokee L Limited",35828,"RWD","3.6L",27400,"Florida",,"https://smartauctionlogin.com/ui/vehicles/2d7bf05c-6a29-4bdb-ac73-30777d598af1"
"1C4HJXEN3MW812375",2021,"Jeep Wrangler Unlimited Unlimited Sahara",41006,"4WD","Engine Size Unspecified",28900,"Maryland",,"https://smartauctionlogin.com/ui/vehicles/203e7971-375f-40ac-9ba2-3094ca55ff9d"
"5YJYGDEE7LF003736",2020,"Tesla Model Y Long Range",84039,"AWD","Engine Size Unspecified",21000,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/56c3589b-5034-412c-8454-2e6cfa925716"
"1C6RRFFGXPN696892",2023,"Ram Pickup 1500 Big Horn",22496,"4WD","Engine Size Unspecified",36300,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/df1b6d62-490a-43e6-b262-cdece8b8e2ee"
"1C4SJUBT7NS146539",2022,"Jeep Wagoneer Series II",60193,"RWD","5.7L",36000,"Florida",,"https://smartauctionlogin.com/ui/vehicles/b643c21f-fe8f-4f6d-abcf-0c332c332c0b"
"1C4RJKAG3P8711683",2023,"Jeep Grand Cherokee L Altitude",35072,"4WD","3.6L",29700,"Pennsylvania",,"https://smartauctionlogin.com/ui/vehicles/bd1c15bf-9872-4c49-918b-4e47461a5a7b"
"1C6SRFJT3NN351755",2022,"Ram Pickup 1500 Laramie",22279,"4WD","Engine Size Unspecified",41800,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/711837c1-c91f-4415-964b-2c685661efcb"
"WP1BA2AYXLDA46839",2020,"Porsche Cayenne Trim Unspecified",62297,"AWD","3.0L",37200,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/b19109ec-e064-4351-b4de-1906e2f598a3"
"1C6SRFJT7NN392275",2022,"Ram Pickup 1500 Laramie",19440,"4WD","Engine Size Unspecified",42200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/34915766-ff18-4469-9442-c2e48e493435"
"1C6SRFFTXNN427531",2022,"Ram Pickup 1500 Big Horn",33294,"4WD","Engine Size Unspecified",36200,"Ohio",,"https://smartauctionlogin.com/ui/vehicles/acf2e162-de5b-4be3-8124-23863e92733e"
"1C4RJKAG7N8572753",2022,"Jeep Grand Cherokee L Laredo",56974,"4WD","3.6L",25800,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/35bd0fe7-1e25-44d3-b795-ac3e39809d2b"
"3C4NJDCB7NT201394",2022,"Jeep Compass High Altitude",32574,"4WD","2.4L",22100,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/49706544-ccd4-4c31-afb5-fd36feda6b29"
"3C4NJDCB3NT233257",2022,"Jeep Compass Limited",20664,"4WD","2.4L",23000,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/fe4ddec1-3c42-47aa-9d5a-1c418508a13f"
"1C6SRFFTXKN765832",2019,"Ram Pickup 1500 Big Horn/Lone Star",77239,"4WD","Engine Size Unspecified",25100,"Illinois",,"https://smartauctionlogin.com/ui/vehicles/b2558d6c-f2fc-408a-965b-f0df06217ce0"
"1GTR1MEC8JZ360287",2018,"GMC Sierra 1500 SLE",86021,"RWD","Engine Size Unspecified",19700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/f5736ab8-b2b7-43e5-ae1a-49059e1b8db5"
"1C4RDJEG1PC592492",2023,"Dodge Durango Citadel",30063,"AWD","Engine Size Unspecified",35700,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/c6b1c7bb-7100-4c77-be08-44db03231499"
"1GNSKGKL3NR322323",2022,"Chevrolet Suburban 1500 High Country",42301,"4WD","6.2L",56500,"Florida",,"https://smartauctionlogin.com/ui/vehicles/c0cb0324-acc5-493c-989f-b32643448b06"
"5TFMA5DB0PX102505",2023,"Toyota Tundra 1794 Edition",25777,"4WD","3.4L",53000,"Florida",,"https://smartauctionlogin.com/ui/vehicles/531e7b78-9328-4d4c-91db-0af6a310cb3b"
"1C4RJHBG9PC533714",2023,"Jeep Grand Cherokee Limited",25430,"4WD","3.6L",31800,"Minnesota",,"https://smartauctionlogin.com/ui/vehicles/909d086c-3588-4255-8e38-223a89a318a9"
"4S4BTANC9P3222372",2023,"Subaru Outback Limited",24149,"AWD","2.5L",28600,"Massachusetts",,"https://smartauctionlogin.com/ui/vehicles/1128dd96-b8c0-4612-8cd7-73ed2692b80d"
"1GYS4CKJ4HR253988",2017,"Cadillac Escalade Premium Luxury",98019,"4WD","6.2L",24100,"Illinois",,"https://smartauctionlogin.com/ui/vehicles/f7d9a5ff-bf94-4171-9172-82c1606524ea"
"1FTEW1EG2JFA97362",2018,"Ford F-150 XLT",105492,"4WD","Engine Size Unspecified",19400,"Oklahoma",,"https://smartauctionlogin.com/ui/vehicles/7d830e40-75b9-4f63-bbdf-03b61a08f03f"
"1C6SRFFT7PN652105",2023,"Ram Pickup 1500 Big Horn",25579,"4WD","Engine Size Unspecified",38900,"Indiana",,"https://smartauctionlogin.com/ui/vehicles/cf62d44b-67ee-4995-9f59-5304081395ba"
"1C4RJHAG8PC562722",2023,"Jeep Grand Cherokee Laredo",32408,"4WD","3.6L",29900,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/70f09379-9f99-423e-9089-9e21c3a48b17"
"1GYFZCR45RF148379",2024,"Cadillac XT4 FWD Premium Luxury",38969,"FWD","2.0L",29700,"Alabama",,"https://smartauctionlogin.com/ui/vehicles/d6c370b4-b657-4c0b-b9f9-941d0f4cd9a9"
"5YJ3E1EA1SF972037",2025,"Tesla Model 3 Standard",10997,"RWD","Engine Size Unspecified",36300,"Florida",,"https://smartauctionlogin.com/ui/vehicles/b3dad698-7159-4506-ad52-059aaffaf7bb"
"1FTFW1E4XKFC91231",2019,"Ford F-150 XLT",77625,"4WD","Engine Size Unspecified",23200,"Maryland",,"https://smartauctionlogin.com/ui/vehicles/00f3c584-433f-4b3e-88e3-55e4a9665789"
"1C6SRFKTXLN203372",2020,"Ram Pickup 1500 Longhorn",69406,"4WD","Engine Size Unspecified",37700,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/aa4499cd-6300-4bb3-b5bf-40d10a88eff3"
"1C4RJXFG2RW226360",2024,"Jeep Wrangler Unlimited Rubicon",9315,"4WD","Engine Size Unspecified",44400,"Alabama",,"https://smartauctionlogin.com/ui/vehicles/083ff01b-8ef2-4301-a731-77ca8dc2aab2"
"1C4RJHAGXRC121600",2024,"Jeep Grand Cherokee Altitude",29390,"4WD","3.6L",31100,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/d1b2af82-5c23-436a-bbc2-5e4549c2b7a7"
"1C4RJHAG3PC549246",2023,"Jeep Grand Cherokee Laredo",46062,"4WD","3.6L",28800,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/5c0be132-f52f-4726-bd06-d25a0c5493e3"
"1GCUYEED5KZ264753",2019,"Chevrolet Silverado 1500 RST",58964,"4WD","Engine Size Unspecified",31900,"Louisiana",,"https://smartauctionlogin.com/ui/vehicles/228d154c-2576-4822-adb7-039db9118901"
"WDDSJ4EB9KN710419",2019,"Mercedes-Benz CLA-Class CLA 250",45611,"FWD","2.0L",18100,"Florida",,"https://smartauctionlogin.com/ui/vehicles/67d4c109-aa44-47fd-96ae-cb4430c242a8"
"1C6RR7GG6NS230587",2022,"Ram 1500 Classic Warlock",30840,"4WD","Engine Size Unspecified",31300,"Minnesota",,"https://smartauctionlogin.com/ui/vehicles/0456d829-8e13-445c-bafa-49df99e5570a"
"1GNSKNKD7PR120214",2023,"Chevrolet Tahoe LT",30937,"4WD","Engine Size Unspecified",53200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/375961a6-e912-444f-bb2b-50fd1af18c4a"
"5TFLA5DB9NX046430",2022,"Toyota Tundra SR5",47987,"4WD","3.4L",40000,"Pennsylvania",,"https://smartauctionlogin.com/ui/vehicles/4aed7afb-ef70-43ca-b7ce-73205b78fddd"
"1C4HJXEN3NW251953",2022,"Jeep Wrangler Unlimited Unlimited Sahara",28055,"4WD","Engine Size Unspecified",36000,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/d1aab1c1-880a-4199-8bda-5c9d99c5f852"
"4JGFF5KEXSB351628",2025,"Mercedes-Benz GLS GLS 450",7451,"AWD","3.0L",76400,"Oklahoma",,"https://smartauctionlogin.com/ui/vehicles/88568f15-842d-4774-8ecf-0eade04d840f"
"1C6SRFFT2KN777862",2019,"Ram Pickup 1500 Big Horn/Lone Star",63162,"4WD","Engine Size Unspecified",28400,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/c5abdd99-477f-44b8-825a-020d9e94b8ed"
"1GCUYGED8LZ257132",2020,"Chevrolet Silverado 1500 LTZ",97654,"4WD","Engine Size Unspecified",31600,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/73a08cfe-e93a-4863-9584-1e5e8f243c7a"
"3C6UR5CJ7NG304929",2022,"Ram Pickup 2500 Tradesman",44264,"4WD","Engine Size Unspecified",32700,"Vermont",,"https://smartauctionlogin.com/ui/vehicles/b9e735ae-0944-49ec-8103-6c0f74a25d91"
"1C4HJXDG4NW155428",2022,"Jeep Wrangler Unlimited Unlimited Sport S",47507,"4WD","Engine Size Unspecified",30000,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/c4926758-5323-400b-b838-83b7de71e968"
"1C4PJXEG9RW262345",2024,"Jeep Wrangler Unlimited Sahara",14326,"4WD","Engine Size Unspecified",40900,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/64126cac-c4cf-4220-a52f-c4d0e4315355"
"1GYS4FKL5PR321572",2023,"Cadillac Escalade 4WD Sport",21072,"4WD","Engine Size Unspecified",78200,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/f24e0079-703b-4fd3-8a90-518e5d7de493"
"1C4HJXDG1NW224267",2022,"Jeep Wrangler Unlimited Unlimited Willys",28971,"4WD","Engine Size Unspecified",33200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/716172dc-56f7-43e9-8111-338860d16d1a"
"1C4HJXDG5NW192178",2022,"Jeep Wrangler Unlimited Unlimited Willys",39405,"4WD","Engine Size Unspecified",31800,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/38032393-6f1b-469c-8775-5eaaaade3fcb"
"1FTFW1E83NFB49407",2022,"Ford F-150 XLT",107624,"4WD","Engine Size Unspecified",29700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/153aa5b5-c1d6-4888-842a-7fb8c9a2798a"
"1C4HJXDG8NW134727",2022,"Jeep Wrangler Unlimited Unlimited Sport",47664,"4WD","Engine Size Unspecified",31000,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/fec6cc27-df6e-4402-803c-48b37b571885"
"1GKS1FKD2NR305323",2022,"GMC Yukon XL SLE",73468,"RWD","Engine Size Unspecified",36100,"Maryland",,"https://smartauctionlogin.com/ui/vehicles/d1f3a9f8-6f68-493c-aa13-30b12cda581f"
"1GYS3BKJ9JR161293",2018,"Cadillac Escalade Luxury",67051,"RWD","6.2L",27800,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/10299991-4985-4a04-8020-8645e311f83a"
"5UXCR6C53KLL09720",2019,"BMW X5 xDrive40i",90485,"AWD","3.0L",27600,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/aa15c2f4-7c34-41a1-ac2a-fe1a42743039"
"1C4HJXDGXNW116620",2022,"Jeep Wrangler Unlimited Unlimited Willys",87139,"4WD","Engine Size Unspecified",26500,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/b73ee3cd-c49c-4ca6-bc7d-b86f4321832b"
"1FTFW1E5XPKF22488",2023,"Ford F-150 XL",57250,"4WD","Engine Size Unspecified",44400,"North Carolina",,"https://smartauctionlogin.com/ui/vehicles/de4caf3a-3770-4b75-814f-54bf4f80c5ab"
"LPSBE0YL0LB000199",2020,"Polestar Polestar 1 Trim Unspecified",19599,"AWD","2.0L",51300,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/5660ad92-1417-43a8-abab-c9b50ba95e2c"